Reading 5 bytes:
Reading at malicious_x = 0xffffffffffffdf88... miss : mix_i=13 , time=1220
miss : mix_i=249 , time=170
miss : mix_i=160 , time=170
miss : mix_i=71 , time=170
miss : mix_i=238 , time=170
miss : mix_i=149 , time=170
miss : mix_i=60 , time=170
miss : mix_i=227 , time=170
miss : mix_i=138 , time=170
miss : mix_i=49 , time=170
miss : mix_i=216 , time=170
miss : mix_i=127 , time=170
miss : mix_i=38 , time=170
miss : mix_i=205 , time=170
miss : mix_i=116 , time=170
miss : mix_i=27 , time=170
miss : mix_i=194 , time=170
miss : mix_i=105 , time=170
miss : mix_i=16 , time=1218
miss : mix_i=183 , time=440
miss : mix_i=94 , time=170
miss : mix_i=5 , time=170
miss : mix_i=172 , time=170
miss : mix_i=83 , time=170
miss : mix_i=250 , time=170
miss : mix_i=161 , time=170
miss : mix_i=72 , time=170
miss : mix_i=239 , time=170
miss : mix_i=150 , time=170
miss : mix_i=61 , time=170
miss : mix_i=228 , time=170
miss : mix_i=139 , time=170
miss : mix_i=50 , time=170
miss : mix_i=217 , time=170
miss : mix_i=128 , time=170
miss : mix_i=39 , time=170
miss : mix_i=206 , time=656
miss : mix_i=117 , time=474
miss : mix_i=28 , time=170
miss : mix_i=195 , time=170
miss : mix_i=106 , time=170
miss : mix_i=17 , time=170
miss : mix_i=184 , time=170
miss : mix_i=95 , time=170
miss : mix_i=6 , time=170
miss : mix_i=173 , time=170
hit ********mix_i=84 , time=35**********
miss : mix_i=251 , time=173
miss : mix_i=162 , time=170
miss : mix_i=73 , time=170
miss : mix_i=240 , time=170
miss : mix_i=151 , time=170
miss : mix_i=62 , time=170
miss : mix_i=229 , time=170
miss : mix_i=140 , time=416
miss : mix_i=51 , time=473
miss : mix_i=218 , time=170
miss : mix_i=129 , time=170
miss : mix_i=40 , time=170
miss : mix_i=207 , time=170
miss : mix_i=118 , time=170
miss : mix_i=29 , time=170
miss : mix_i=196 , time=170
miss : mix_i=107 , time=170
miss : mix_i=18 , time=170
miss : mix_i=185 , time=170
miss : mix_i=96 , time=170
miss : mix_i=7 , time=170
miss : mix_i=174 , time=170
miss : mix_i=85 , time=170
miss : mix_i=252 , time=170
miss : mix_i=163 , time=170
miss : mix_i=74 , time=170
miss : mix_i=241 , time=170
miss : mix_i=152 , time=170
miss : mix_i=63 , time=1218
miss : mix_i=230 , time=170
miss : mix_i=141 , time=170
miss : mix_i=52 , time=170
miss : mix_i=219 , time=170
miss : mix_i=130 , time=170
miss : mix_i=41 , time=170
miss : mix_i=208 , time=170
miss : mix_i=119 , time=170
miss : mix_i=30 , time=170
miss : mix_i=197 , time=170
miss : mix_i=108 , time=170
miss : mix_i=19 , time=170
miss : mix_i=186 , time=170
miss : mix_i=97 , time=170
miss : mix_i=8 , time=576
miss : mix_i=175 , time=170
miss : mix_i=86 , time=170
miss : mix_i=253 , time=621
miss : mix_i=164 , time=170
